port,avg_price,min_price,max_price,price_range,volatility,observations
Rotterdam,711.0454545454545,696.5,726.0,29.5,10.272425578836165,11
Gibraltar,736.8636363636364,729.0,748.5,19.5,5.93334184541442,11
Houston,773.3636363636364,744.0,807.5,63.5,19.66226196180249,11
Singapore,792.5454545454545,781.0,804.5,23.5,7.676114073717714,11
Fujairah,1061.1363636363637,889.5,1241.0,351.5,131.13410900850525,11
