"year";"S_index"
2015;60,3431378184494
2016;58,0073247787982
2017;59,383609761495
2018;66,6519795330413
2019;61,9686844718277
2020;47,3287655204472
2021;41,2130845381202
2022;35,2545129794767
2023;59,5922630779162
2024;64,6994291196526
