OMRÅDE;TID;INDHOLD
Total;2015;81.4
Total;2016;81.5
Total;2017;82.3
Total;2018;82.2
Total;2019;83.5
Total;2020;82.6
Total;2021;82.2
Total;2022;84.6
Total;2023;84.9
